model,target,horizon,rmse,mae,r2,bias,band_accuracy,band_within_one,rmse_std,n_folds,n,skill_vs_persistence,run_id,city_id,quick
elastic_net,aqi_mean,2,15.330008686282094,11.909088086925204,0.2566896260648561,1.537186924566557,0.75,0.9966666666666668,3.682031228330864,5,300,0.2207838023244239,20260906T203412Z,karachi_pk,False
random_forest,aqi_mean,2,15.364642402225131,12.04475815427811,0.2494350623750144,1.0430702783149204,0.7533333333333333,0.9966666666666668,3.219359062093835,5,300,0.2190233889417061,20260906T203412Z,karachi_pk,False
random_forest#0,aqi_mean,2,15.447492718772564,12.116720455912034,0.2417886976949023,0.9394581481236064,0.7633333333333333,0.9933333333333334,3.392463286896512,5,300,0.2148121513646473,20260906T203412Z,karachi_pk,False
random_forest#1,aqi_mean,2,15.364642402225131,12.04475815427811,0.2494350623750145,1.0430702783149195,0.7533333333333333,0.9966666666666668,3.2193590620938344,5,300,0.2190233889417061,20260906T203412Z,karachi_pk,False
random_forest#2,aqi_mean,2,15.41571985597125,12.111710505400582,0.245176445835681,1.018725977026828,0.7466666666666667,0.9933333333333334,3.292721031107326,5,300,0.2164271491019587,20260906T203412Z,karachi_pk,False
extra_trees,aqi_mean,2,15.317599572007593,12.037105544277122,0.2558048601741517,0.475391112679652,0.7433333333333334,0.9966666666666668,3.365195032906061,5,300,0.2214145510108321,20260906T203412Z,karachi_pk,False
hist_gradient_boosting,aqi_mean,2,15.04016071267792,11.802805060521488,0.2783547214856853,-1.3937308714780012,0.7533333333333333,0.9966666666666668,3.1066090671171,5,300,0.2355166208451282,20260906T203412Z,karachi_pk,False
hist_gradient_boosting#0,aqi_mean,2,14.887833810418703,11.653646259198483,0.2936813339185688,-0.8279391478430342,0.7533333333333333,0.9966666666666668,3.215574303808259,5,300,0.2432593163654732,20260906T203412Z,karachi_pk,False
hist_gradient_boosting#1,aqi_mean,2,15.04016071267792,11.802805060521488,0.2783547214856853,-1.3937308714780012,0.7533333333333333,0.9966666666666668,3.1066090671171,5,300,0.2355166208451282,20260906T203412Z,karachi_pk,False
hist_gradient_boosting#2,aqi_mean,2,15.275357100163456,12.036037523526549,0.2577301892255854,-1.1394417788499922,0.74,0.9966666666666668,3.1773059474120044,5,300,0.2235617134139598,20260906T203412Z,karachi_pk,False
sarimax,aqi_mean,2,19.673626821428947,14.889571968051268,-0.2334783773413423,-0.0067020490071821,0.6799999999999999,0.9866666666666668,4.598451195828639,5,300,0.0,20260906T203412Z,karachi_pk,False
persistence,aqi_mean,3,22.28962054806526,16.88280989840271,-0.6231594738799078,-0.0290077101816646,0.66,0.9866666666666668,4.4290714877012585,5,300,0.0,20260906T203412Z,karachi_pk,False
seasonal_naive,aqi_mean,3,25.180643972061983,19.758680158088044,-1.1240941279778227,-0.2755085551330797,0.6166666666666666,0.9833333333333332,3.4498032474794225,5,300,-0.129702675636067,20260906T203412Z,karachi_pk,False
climatology,aqi_mean,3,19.98058536995068,16.175018536336037,-0.2966935860558263,2.748178582588479,0.6799999999999999,0.9933333333333334,3.875094570552114,5,300,0.1035923950852093,20260906T203412Z,karachi_pk,False
drifted_persistence,aqi_mean,3,25.562952407116693,19.61098550675579,-1.1348100275981616,0.0666628379805693,0.6233333333333333,0.9833333333333332,4.927659019201767,5,300,-0.1468545349165022,20260906T203412Z,karachi_pk,False
ridge,aqi_mean,3,18.653271066540697,14.450100859290032,-0.1434436826801041,0.5692893906120265,0.7133333333333334,0.9966666666666668,4.161053285831043,5,300,0.1631409325108586,20260906T203412Z,karachi_pk,False
ridge#0,aqi_mean,3,19.246343162299585,14.978208082905224,-0.2182108178195733,0.5117284724613411,0.7033333333333334,0.9966666666666668,4.310936733020867,5,300,0.1365333868830633,20260906T203412Z,karachi_pk,False
ridge#1,aqi_mean,3,18.653271066540697,14.450100859290032,-0.1434436826801041,0.5692893906120265,0.7133333333333334,0.9966666666666668,4.161053285831043,5,300,0.1631409325108586,20260906T203412Z,karachi_pk,False
ridge#2,aqi_mean,3,17.685062134224992,13.614792384331782,-0.020160598077651,1.0609213480715427,0.7266666666666667,1.0,3.864002009394176,5,300,0.2065785913183677,20260906T203412Z,karachi_pk,False
ridge#3,aqi_mean,3,16.710659125325417,12.903061738143249,0.0967226435293508,1.8209649732952744,0.72,1.0,3.584052411089751,5,300,0.2502941407508211,20260906T203412Z,karachi_pk,False
elastic_net,aqi_mean,3,16.58975338303896,12.972523140347992,0.1068759484039428,2.4214751079102297,0.7333333333333333,1.0,3.501498084029773,5,300,0.2557184476395695,20260906T203412Z,karachi_pk,False
random_forest,aqi_mean,3,16.888113253043564,13.253501715877338,0.0567606923989793,2.593165587863869,0.7433333333333333,0.9933333333333334,2.876741004230124,5,300,0.2423328509955521,20260906T203412Z,karachi_pk,False
random_forest#0,aqi_mean,3,16.69552907646611,13.134683897594396,0.0841708186286677,2.103295972863897,0.74,0.9933333333333334,2.8630859208380635,5,300,0.2509729342200362,20260906T203412Z,karachi_pk,False
random_forest#1,aqi_mean,3,16.888113253043564,13.253501715877338,0.0567606923989793,2.593165587863869,0.7433333333333333,0.9933333333333334,2.876741004230124,5,300,0.2423328509955521,20260906T203412Z,karachi_pk,False
random_forest#2,aqi_mean,3,16.822653543530606,13.188861993575012,0.0653240913994435,2.320004877694311,0.74,0.9933333333333334,2.8407590715271622,5,300,0.2452696308914592,20260906T203412Z,karachi_pk,False
extra_trees,aqi_mean,3,16.7516254535405,13.13183119481942,0.0859178226842062,1.1641134329486025,0.72,0.9933333333333334,2.972866799217102,5,300,0.2484562302253036,20260906T203412Z,karachi_pk,False
hist_gradient_boosting,aqi_mean,3,16.529335022484762,12.979166353516934,0.0952971635942051,0.2068762694983975,0.7266666666666667,0.9966666666666668,2.3620852396479486,5,300,0.258429052803256,20260906T203412Z,karachi_pk,False
hist_gradient_boosting#0,aqi_mean,3,15.761652481106896,12.47778703856917,0.1863425878486971,0.2978396995151828,0.7466666666666666,1.0,2.903320406241661,5,300,0.2928703094286183,20260906T203412Z,karachi_pk,False
hist_gradient_boosting#1,aqi_mean,3,16.529335022484762,12.979166353516934,0.0952971635942051,0.2068762694983975,0.7266666666666667,0.9966666666666668,2.3620852396479486,5,300,0.258429052803256,20260906T203412Z,karachi_pk,False
hist_gradient_boosting#2,aqi_mean,3,16.309657560784785,12.83632755874758,0.1223914790937777,-0.2181409508515561,0.7233333333333334,0.9966666666666668,2.526852068253633,5,300,0.2682846473041254,20260906T203412Z,karachi_pk,False
sarimax,aqi_mean,3,22.28962054806526,16.88280989840271,-0.6231594738799078,-0.0290077101816646,0.66,0.9866666666666668,4.4290714877012585,5,300,0.0,20260906T203412Z,karachi_pk,False
persistence,aqi_max,1,17.870452254800146,12.77287788421322,0.2700144064007379,-0.0310519645120405,0.74,0.9866666666666668,3.014448012410784,5,300,0.0,20260906T203412Z,karachi_pk,False
seasonal_naive,aqi_max,1,28.9913894987745,23.4287588547147,-0.9655178593275074,-0.4365906210392906,0.5633333333333332,0.97,2.376684966181708,5,300,-0.6223086626689698,20260906T203412Z,karachi_pk,False
climatology,aqi_max,1,24.947264588476514,20.065996779067063,-0.4263256743619462,6.060222805763674,0.6333333333333333,0.9866666666666668,4.901711581127928,5,300,-0.3960063367604745,20260906T203412Z,karachi_pk,False
drifted_persistence,aqi_max,1,18.516069371438807,13.512013176350823,0.2161431114844069,0.0008382182087043,0.7300000000000001,0.9866666666666668,3.1080518661065653,5,300,-0.0361276316588599,20260906T203412Z,karachi_pk,False
